Plate 1: cols 1-6,Plate 1: cols 7-12,Plate 2: cols 1-6,Plate 2: cols 7-12,A: Ladder
60.71067,84.06744,66.99077,63.89564,81.53923
63.90252,88.0814,72.07468,69.20912,93.40691
67.31429,92.15579,77.35452,74.79073,107.7413
70.90503,96.45567,82.9531,80.47687,124.7921
74.48425,101.3462,88.9205,86.19071,145.3914
78.04536,106.2978,94.99537,92.32941,170.537
81.80563,111.4157,101.3281,98.73941,200.7771
85.75602,116.5469,107.7494,105.3363,235.8193
89.75974,121.763,114.2193,112.055,275.0229
93.90789,127.532,120.7215,119.2159,319.0122
98.33684,133.461,127.2316,126.0294,365.0501
102.6843,139.355,133.7701,132.8691,410.0713
106.8468,145.2917,140.1599,139.9255,451.7886
111.2848,151.3015,146.2627,147.3001,487.3688
115.997,157.2987,151.9513,154.4227,510.8919
120.6652,163.7642,157.3856,161.3649,519.2945
125.2381,170.4418,162.8041,167.9337,513.0229
129.7371,177.2168,167.7063,174.0047,493.2372
134.4773,183.9394,172.0731,180.0455,457.3671
139.0815,190.33,176.6326,186.1045,411.8975
143.8044,196.5984,180.689,192.1251,360.377
148.5315,202.9872,184.9413,197.9166,305.7411
152.8189,209.259,189.3539,203.1059,251.9865
156.9416,215.1665,193.7984,207.6182,203.8094
160.6031,220.5192,198.0165,212.4182,161.8783
164.207,225.2193,202.0728,217.1924,127.058
167.995,229.932,205.869,221.5251,99.75806
171.6576,234.6418,209.4687,224.5354,80.4569
174.6251,239.2485,212.9453,227.016,65.11658
177.3534,243.6626,215.8101,229.0701,54.43371
180.0557,248.1273,217.2495,230.9331,47.89271
182.8519,252.3479,218.485,232.9883,44.04123
184.5135,256.5605,219.9202,235.0283,41.60752
186.4036,261.0316,221.5374,236.6057,39.98227
188.2976,265.743,222.4122,238.0392,39.15368
189.9534,270.3444,223.1212,239.5558,39.03318
190.9901,274.2898,223.876,241.1659,39.35325
192.608,277.6402,224.7768,242.6902,40.25626
194.4211,280.6136,225.7764,243.9758,42.10897
196.0485,283.3499,226.2685,244.9315,45.07835
197.2879,284.7265,227.1421,245.4932,49.24438
198.7485,286.7325,227.8687,246.038,55.16898
199.3559,288.5874,228.0117,246.6596,62.77591
199.687,289.0717,227.8312,247.0472,72.2513
199.6941,289.4841,227.8702,247.1332,84.37597
199.1215,290.5139,228.0178,247.2967,101.9778
198.8713,291.4616,227.9058,247.7769,124.9125
199.4652,292.4826,227.2237,247.8599,153.9487
199.9298,293.9366,227.2222,247.5938,189.7865
200.1425,295.3101,227.6861,247.2005,232.8464
201.4143,296.4275,227.8505,247.0367,284.9292
203.3485,297.2752,227.5477,246.9481,342.8317
204.2252,297.9015,226.9603,247.1253,402.114
204.8025,298.4478,227.33,247.511,459.0435
205.8773,299.7473,226.7436,247.681,508.3973
