A1: Ladder,"B1: Library 1, with own oligos","C1: Library 2, with NXT oligos","D1: Library 3, without enrichment"
527.0029,7.082985,7.901776,3.627523
502.6786,7.009316,7.833978,3.564286
471.8407,6.911006,7.764625,3.605646
436.4239,6.779344,7.617564,3.544233
397.2704,6.640426,7.293887,3.595154
354.8793,6.321898,6.810216,3.413385
310.6512,6.081119,6.465386,3.236568
268.2839,5.770725,6.321954,3.256565
229.2424,5.844505,6.183138,3.330064
194.4462,5.709711,5.734348,3.336493
163.3377,5.390273,5.3879,3.283024
136.7122,5.329201,5.304225,3.221344
114.7655,5.458458,5.209526,3.217886
96.825,5.607047,5.292679,3.309599
82.05856,5.98272,5.28196,3.364918
71.9609,6.400379,5.234715,3.313356
63.51387,6.299617,5.091068,3.196088
57.57148,6.170321,4.816571,3.089966
53.60347,5.703508,4.685519,3.011889
51.0876,5.230824,4.669541,2.945319
49.66173,4.705009,4.569888,2.974159
48.23383,4.427297,4.401304,2.875581
48.0387,4.429277,4.305386,3.000328
48.34648,4.364999,4.349743,3.252915
49.39564,4.220627,4.552602,3.504976
51.04284,4.38144,4.328108,3.604956
53.54082,4.37529,4.256271,3.531973
57.38857,3.922129,4.178312,3.51247
62.0781,3.735694,4.010651,3.647035
69.56458,3.012767,4.118712,3.87869
79.63611,2.326271,4.271482,4.056685
92.06116,2.063681,4.451007,4.113916
106.8748,2.202007,4.601782,4.367887
124.7586,2.249811,4.614546,4.820094
147.0408,2.171403,4.646285,5.293907
175.4342,2.330275,4.519639,5.717661
209.1967,2.752134,4.502358,6.189909
249.2724,3.300012,4.586644,6.669726
295.5694,3.703278,5.021836,7.118133
349.3715,4.512257,5.502213,7.82796
410.7491,4.470771,6.143467,8.530126
477.0212,4.512975,6.881199,9.246944
543.3283,5.034053,7.79848,10.11204
609.8053,5.319734,8.77815,11.31176
672.0918,5.3353,9.471616,12.86177
724.3513,5.403293,10.11184,14.59676
762.1076,5.767928,10.8862,16.77367
781.9176,6.49309,12.2137,19.66531
781.3412,7.418151,13.49626,22.98807
759.5645,8.297214,15.059,26.51219
716.1777,9.436394,16.53498,30.54389
657.6111,10.45957,18.2065,35.00896
586.3969,11.55176,20.27294,40.16898
506.8448,12.81625,22.76732,46.24799
425.5668,14.21925,25.67064,52.99065
350.1266,15.69804,28.95368,60.74612
282.4637,17.40571,32.74362,69.30101
224.1611,19.67848,37.05482,78.866
176.7759,22.50158,42.41572,89.66444
140.3915,25.56088,47.55485,101.9835
114.1569,28.94439,53.13482,114.7125
96.27493,32.76046,58.7972,128.0056
84.08414,37.20102,64.92549,142.4084
75.58156,42.17788,71.88953,157.6438
69.97512,47.64596,79.50652,175.1351
66.4082,53.97931,87.63264,192.2616
64.04908,60.63793,96.8372,210.5555
62.23662,67.39297,107.2137,229.4442
60.71302,74.58059,117.8992,249.0807
59.67393,82.27415,129.2985,268.9906
58.99097,90.14384,140.0921,289.1416
58.55066,98.21609,151.3756,308.7363
59.35729,107.0144,162.411,326.703
61.57184,116.1433,173.4527,346.2899
65.46143,125.5143,184.3812,364.3955
71.4551,136.1998,194.7998,383.6982
80.03891,147.4247,205.2625,399.0435
94.14545,158.2999,215.8153,413.9176
112.3413,168.9644,226.383,428.4014
135.0916,179.6941,236.0694,442.1772
163.3014,190.4824,245.1325,455.768
197.9506,201.3783,253.7538,469.3707
240.5548,212.0571,262.1702,481.7625
293.7562,221.645,270.8647,491.8791
360.567,230.4952,278.7414,504.6225
438.8648,239.2138,285.0187,514.9436
524.0234,248.3299,290.6535,523.4047
611.4855,256.3019,296.4264,528.9791
695.5772,263.5873,301.4498,532.3729
769.8045,270.5129,306.9807,534.4431
827.7485,277.229,311.3004,534.5361
856.953,283.847,316.2653,533.5332
858.392,290.4292,320.86,532.9454
832.2507,296.3668,325.1911,529.9134
782.8012,301.1932,329.643,526.5117
714.5433,305.9371,333.1722,524.6087
631.8871,310.8189,335.4596,522.5379
542.2067,314.6573,337.6989,519.2225
451.6588,318.6676,338.5227,515.3995
