"Position (bp)"	"01_BAT_r1_C_1 - nextera_transposase_sequence"	"01_BAT_r1_C_2 - nextera_transposase_sequence"	"01_Blood_r3_C_1 - nextera_transposase_sequence"	"01_Blood_r3_C_2 - nextera_transposase_sequence"	"01_Liver_r2_C_1 - nextera_transposase_sequence"	"01_Liver_r2_C_2 - nextera_transposase_sequence"	"01_scAT_r1_C_1 - nextera_transposase_sequence"	"01_scAT_r1_C_2 - nextera_transposase_sequence"	"02_BAT_r1_C_1 - nextera_transposase_sequence"	"02_BAT_r1_C_2 - nextera_transposase_sequence"	"02_Blood_r3_C_1 - nextera_transposase_sequence"	"02_Blood_r3_C_2 - nextera_transposase_sequence"	"02_Liver_r2_C_1 - nextera_transposase_sequence"	"02_Liver_r2_C_2 - nextera_transposase_sequence"	"02_scAT_r1_C_1 - nextera_transposase_sequence"	"02_scAT_r1_C_2 - nextera_transposase_sequence"	"03_BAT_r1_C_1 - nextera_transposase_sequence"	"03_BAT_r1_C_2 - nextera_transposase_sequence"	"03_Liver_r2_C_1 - nextera_transposase_sequence"	"03_Liver_r2_C_2 - nextera_transposase_sequence"	"04_BAT_r1_C_1 - nextera_transposase_sequence"	"04_BAT_r1_C_2 - nextera_transposase_sequence"	"04_Liver_r2_C_1 - nextera_transposase_sequence"	"04_Liver_r2_C_2 - nextera_transposase_sequence"	"05_BAT_r1_C_1 - nextera_transposase_sequence"	"05_BAT_r1_C_2 - nextera_transposase_sequence"	"05_Blood_r3_C_1 - nextera_transposase_sequence"	"05_Blood_r3_C_2 - nextera_transposase_sequence"	"05_Liver_r2_C_1 - nextera_transposase_sequence"	"05_Liver_r2_C_2 - nextera_transposase_sequence"	"05_scAT_r1_C_1 - nextera_transposase_sequence"	"05_scAT_r1_C_2 - nextera_transposase_sequence"	"06_BAT_r1_C_1 - nextera_transposase_sequence"	"06_BAT_r1_C_2 - nextera_transposase_sequence"	"06_Blood_r3_C_1 - nextera_transposase_sequence"	"06_Blood_r3_C_2 - nextera_transposase_sequence"	"06_Liver_r2_C_1 - nextera_transposase_sequence"	"06_Liver_r2_C_2 - nextera_transposase_sequence"	"06_scAT_r1_C_1 - nextera_transposase_sequence"	"06_scAT_r1_C_2 - nextera_transposase_sequence"	"07_BAT_r1_C_1 - nextera_transposase_sequence"	"07_BAT_r1_C_2 - nextera_transposase_sequence"	"07_Blood_r3_C_1 - nextera_transposase_sequence"	"07_Blood_r3_C_2 - nextera_transposase_sequence"	"07_Liver_r2_C_1 - nextera_transposase_sequence"	"07_Liver_r2_C_2 - nextera_transposase_sequence"	"07_scAT_r1_C_1 - nextera_transposase_sequence"	"07_scAT_r1_C_2 - nextera_transposase_sequence"	"08_BAT_r1_C_1 - nextera_transposase_sequence"	"08_BAT_r1_C_2 - nextera_transposase_sequence"	"08_Blood_r3_C_1 - nextera_transposase_sequence"	"08_Blood_r3_C_2 - nextera_transposase_sequence"	"08_Liver_r2_C_1 - nextera_transposase_sequence"	"08_Liver_r2_C_2 - nextera_transposase_sequence"	"08_scAT_r1_C_1 - nextera_transposase_sequence"	"08_scAT_r1_C_2 - nextera_transposase_sequence"	"09_BAT_r1_C_1 - nextera_transposase_sequence"	"09_BAT_r1_C_2 - nextera_transposase_sequence"	"10_BAT_r1_C_1 - nextera_transposase_sequence"	"10_BAT_r1_C_2 - nextera_transposase_sequence"	"11_BAT_r1_C_1 - nextera_transposase_sequence"	"11_BAT_r1_C_2 - nextera_transposase_sequence"	"11_BAT_r3_C_1 - nextera_transposase_sequence"	"11_BAT_r3_C_2 - nextera_transposase_sequence"	"12_BAT_r1_C_1 - nextera_transposase_sequence"	"12_BAT_r1_C_2 - nextera_transposase_sequence"	"12_BAT_r3_C_1 - nextera_transposase_sequence"	"12_BAT_r3_C_2 - nextera_transposase_sequence"	"13_BAT_r3_C_1 - nextera_transposase_sequence"	"13_BAT_r3_C_2 - nextera_transposase_sequence"	"13_Blood_r2_C_1 - nextera_transposase_sequence"	"13_Blood_r2_C_2 - nextera_transposase_sequence"	"13_scAT_r1_C_1 - nextera_transposase_sequence"	"13_scAT_r1_C_2 - nextera_transposase_sequence"	"14_BAT_r3_C_1 - nextera_transposase_sequence"	"14_BAT_r3_C_2 - nextera_transposase_sequence"	"14_Blood_r2_C_1 - nextera_transposase_sequence"	"14_Blood_r2_C_2 - nextera_transposase_sequence"	"14_scAT_r1_C_1 - nextera_transposase_sequence"	"14_scAT_r1_C_2 - nextera_transposase_sequence"	"15_BAT_r3_C_1 - nextera_transposase_sequence"	"15_BAT_r3_C_2 - nextera_transposase_sequence"	"15_Blood_r2_C_1 - nextera_transposase_sequence"	"15_Blood_r2_C_2 - nextera_transposase_sequence"	"15_Liver_r1_C_1 - nextera_transposase_sequence"	"15_Liver_r1_C_2 - nextera_transposase_sequence"	"15_scAT_r1_C_1 - nextera_transposase_sequence"	"15_scAT_r1_C_2 - nextera_transposase_sequence"	"16_BAT_r3_C_1 - nextera_transposase_sequence"	"16_BAT_r3_C_2 - nextera_transposase_sequence"	"16_Blood_r2_C_1 - nextera_transposase_sequence"	"16_Blood_r2_C_2 - nextera_transposase_sequence"	"16_Liver_r1_C_1 - nextera_transposase_sequence"	"16_Liver_r1_C_2 - nextera_transposase_sequence"	"16_scAT_r1_C_1 - nextera_transposase_sequence"	"16_scAT_r1_C_2 - nextera_transposase_sequence"
12	0.003488615484801265	0	0.000906470385612502	0	0.0009375585974123383	0	0.0048882340207121455	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0	0	0	0.005815982319413749	0	0.005937537109606935	0	0.000443140626246333	0	0.0030211936736204473	0	0.003455027064378671	0	0.005940594059405941	0	0.003117838714203314	0	0.00369187602680302	0	0	0	0	0	0	0	0.0017980760586172794	0	0.003911444887741531	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0	0.0027959905495519425	0	0.001826617469769481	0	0.0020488164670208844	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.003904846695718726	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.003000673008088957	0
14	0.0038762394275569613	0	0.000906470385612502	0	0.0009375585974123383	0	0.0055865531665281664	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.001717136160311832	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0	0	0	0.005815982319413749	0	0.005937537109606935	0	0.000886281252492666	0	0.0030211936736204473	0	0.003455027064378671	0	0.005940594059405941	0	0.0035075685534787285	0	0.00369187602680302	0	0	0	0	0	0	0	0.0017980760586172794	0	0.003911444887741531	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.003904846695718726	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.003000673008088957	0
16	0.0038762394275569613	0	0.000906470385612502	0	0.0009375585974123383	0	0.0055865531665281664	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.001717136160311832	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0	0	0	0.005815982319413749	0	0.005937537109606935	0	0.000886281252492666	0.000443140626246333	0.0030211936736204473	0	0.003455027064378671	0	0.005940594059405941	0	0.003897298392754143	0	0.00369187602680302	0	0	0	0	0	0	0	0.0017980760586172794	0	0.003911444887741531	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.003904846695718726	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.003000673008088957	0
18	0.0038762394275569613	0	0.000906470385612502	0	0.0009375585974123383	0	0.0055865531665281664	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.001717136160311832	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0	0	0	0.005815982319413749	0	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0	0.005940594059405941	0	0.003897298392754143	0	0.00369187602680302	0	0	0	0	0	0	0	0.0017980760586172794	0	0.003911444887741531	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.0042953313652905984	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.003000673008088957	0
20	0.0038762394275569613	0	0.000906470385612502	0	0.0009375585974123383	0	0.0055865531665281664	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.00214642020038979	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0	0	0	0.005815982319413749	0	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0	0.005940594059405941	0	0.003897298392754143	0	0.00369187602680302	0	0	0	0	0	0	0	0.0017980760586172794	0	0.003911444887741531	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.003000673008088957	0
22	0.0038762394275569613	0	0.000906470385612502	0	0.0009375585974123383	0	0.0055865531665281664	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.002575704240467748	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0	0	0	0.005815982319413749	0	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0	0.005940594059405941	0	0.003897298392754143	0.00038972983927541426	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.003911444887741531	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.003000673008088957	0
24	0.0038762394275569613	0	0.000906470385612502	0	0.0009375585974123383	0	0.0055865531665281664	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.002575704240467748	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0.00031246875312468755	0	0	0.005815982319413749	0	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0.0023033513762524475	0.005940594059405941	0	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0	0	0	0	0	0.002465392058972178	0	0.0064723522685594705	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0	0	0	0	0.0038177410426250787	0	0.003000673008088957	0.0004286675725841367
26	0.0038762394275569613	0	0.000906470385612502	0	0.0009375585974123383	0	0.0055865531665281664	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.002575704240467748	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0.0006249375062493751	0	0	0.005815982319413749	0	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0.002879189220315559	0.005940594059405941	0	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0	0	0	0	0	0.002465392058972178	0	0.0075510776466527155	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0	0.0005219588070109507	0	0	0.0038177410426250787	0	0.003000673008088957	0.000643001358876205
28	0.0038762394275569613	0	0.000906470385612502	0	0.0009375585974123383	0	0.0055865531665281664	0	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.002575704240467748	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0.0006249375062493751	0	0	0.005815982319413749	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0.003455027064378671	0.005940594059405941	0	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0	0	0	0	0	0.002465392058972178	0	0.00862980302474596	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0	0.0010439176140219014	0	0	0.0038177410426250787	0	0.003000673008088957	0.0010716689314603418
30	0.0038762394275569613	0	0.000906470385612502	0.000906470385612502	0.0009375585974123383	0	0.0055865531665281664	0.0006983191458160208	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.002575704240467748	0	0.005770540237977079	0	0.0034114168751421424	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0.0006249375062493751	0	0	0.005815982319413749	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0.003455027064378671	0.005940594059405941	0	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0.0006829388223402947	0	0	0	0	0.002465392058972178	0	0.00862980302474596	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0	0.0010439176140219014	0	0	0.0038177410426250787	0	0.003000673008088957	0.00128600271775241
